"year","month","decimal_date","co2_average","co2_interpolated","co2_trend","temp_anomaly"
1958,3,1958.208,315.71,315.71,314.62,0.1
1958,4,1958.292,317.45,317.45,315.29,0.01
1958,5,1958.375,317.5,317.5,314.71,0.08
1958,6,1958.458,-99.99,317.1,314.85,-0.05
1958,7,1958.542,315.86,315.86,314.98,0.06
1958,8,1958.625,314.93,314.93,315.94,-0.06
1958,9,1958.708,313.2,313.2,315.91,-0.02
1958,10,1958.792,-99.99,312.66,315.61,0.04
1958,11,1958.875,313.33,313.33,315.31,0.03
1958,12,1958.958,314.67,314.67,315.61,0.01
1959,1,1959.042,315.62,315.62,315.7,0.06
1959,2,1959.125,316.38,316.38,315.88,0.1
1959,3,1959.208,316.71,316.71,315.62,0.19
1959,4,1959.292,317.72,317.72,315.56,0.17
1959,5,1959.375,318.29,318.29,315.5,0.06
1959,6,1959.458,318.15,318.15,315.92,0.02
1959,7,1959.542,316.54,316.54,315.66,0.06
1959,8,1959.625,314.8,314.8,315.81,-0.01
1959,9,1959.708,313.84,313.84,316.55,-0.06
1959,10,1959.792,313.26,313.26,316.19,-0.08
1959,11,1959.875,314.8,314.8,316.78,-0.09
1959,12,1959.958,315.58,315.58,316.52,-0.03
1960,1,1960.042,316.43,316.43,316.51,-0.01
1960,2,1960.125,316.97,316.97,316.47,0.15
1960,3,1960.208,317.58,317.58,316.49,-0.36
1960,4,1960.292,319.02,319.02,316.86,-0.16
1960,5,1960.375,320.03,320.03,317.24,-0.08
1960,6,1960.458,319.59,319.59,317.36,0.01
1960,7,1960.542,318.18,318.18,317.3,-0.02
1960,8,1960.625,315.91,315.91,316.92,0
1960,9,1960.708,314.16,314.16,316.87,0.05
1960,10,1960.792,313.83,313.83,316.76,0.07
1960,11,1960.875,315,315,316.98,-0.11
1960,12,1960.958,316.19,316.19,317.13,0.18
1961,1,1961.042,316.93,316.93,317.03,0.07
1961,2,1961.125,317.7,317.7,317.28,0.18
1961,3,1961.208,318.54,318.54,317.47,0.09
1961,4,1961.292,319.48,319.48,317.27,0.15
1961,5,1961.375,320.58,320.58,317.7,0.13
1961,6,1961.458,319.77,319.77,317.48,0.12
1961,7,1961.542,318.57,318.57,317.7,-0.03
1961,8,1961.625,316.79,316.79,317.8,0.02
1961,9,1961.708,314.8,314.8,317.49,0.05
1961,10,1961.792,315.38,315.38,318.35,0
